FCID,ABAM_COV,ABGRC_COV,ABPRSH_COV,ACMA3_COV,ALRH2_COV,ALRU2_COV,CADE27_COV,CHCH7_COV,CHLA_COV,LIDE3_COV,NOTALY_COV,PIBR_COV,PICO_COV,PIJE_COV,PILA_COV,PIPO_COV,PISI_COV,PSME_COV,QUCH2_COV,QUGA4_COV,QUKE_COV,TABR2_COV,THPL_COV,TSHE_COV,UMCA_COV
52612,0.0,30.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1188,4.0,0.0,0.0,2.0,0.0,0.0,0.0
52613,0.0,0.0,0.0,1.0,0.0,0.0,15.6335,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.3469,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52614,0.0,15.6335,0.0,4.0,0.0,0.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1076,0.0,0.0,0.0,2.0,0.0,0.0,0.0
52615,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4998,2.0,0.0,0.0,0.0,0.0,0.0,0.0
52616,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0671,3.0,0.0,0.0,1.0,0.0,0.0,0.0
52617,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1395,45.0,0.0,0.0,2.0,0.0,0.0,0.0
52618,0.0,22.1199,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8235,0.0,0.0,69.8806,0.0,0.0,0.0,1.0,0.0,13.0642,0.0
52619,0.0,13.9292,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5312,0.0,0.0,0.0,20.0,0.0,29.5312,0.0
52620,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,65.0062,0.0,0.0,0.0,0.0,0.0,15.6335,0.0
52621,0.0,0.0,0.0,0.0,0.0,0.0,39.3469,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3259,7.0,0.0,0.0,0.0,0.0,5.0,0.0
